Date,Symbol,Open,High,Low,Close,Volume From,Volume To,ETH_Open,ETH_High,ETH_Low,ETH_Close,ETH_Volume From,ETH_Volume To,GDAX_Open,GDAX_High,GDAX_Low,GDAX_Close,GDAX_Volume From,GDAX_Volume To
2017-07-02 04-PM,BTCUSD,2433,2464.16,2433,2448,272.15,667499.61,263.21,269.9,262.67,267.33,5808.1,1552669.74,2463.86,2479.25,2462.17,2476.41,435.06,1075573.75
2017-07-02 05-AM,BTCUSD,2378.96,2411,2376.5,2407,207.71,497531.73,253.95,260,251.65,259.5,3988.87,1021402.16,2412,2439.99,2411.99,2439.97,354.39,861781.42
2017-07-02 05-PM,BTCUSD,2448,2477.48,2447.86,2470.01,323.4,797628.16,267.33,278.85,267.33,277,10508.33,2886999.31,2476.41,2507.54,2474.23,2496.37,1216.26,3030780.24
2017-07-02 06-AM,BTCUSD,2407,2415.66,2381.39,2393.09,112.64,270009.25,259.5,260.28,256.8,258.06,1117.56,288655.84,2439.97,2439.99,2415.19,2421.55,138.82,337239.24
2017-07-02 06-PM,BTCUSD,2470.01,2497.48,2462.87,2475,552.91,1373378.07,277,287.68,275.48,277.02,10449.04,2945332.32,2496.37,2526.72,2490,2490.08,796.35,2003965.15
2017-07-02 07-AM,BTCUSD,2393.09,2418.1,2388.04,2418.1,231.2,556767.71,258.06,264.44,257.1,264.4,2748.2,720895.12,2421.55,2439.97,2418.33,2431.95,219.87,534770.54
2017-07-02 07-PM,BTCUSD,2475,2498.13,2467.19,2482.94,261.71,649003.36,277.02,283,276.01,279.59,3575.13,997473.59,2490.08,2506.11,2478.43,2492.61,649.85,1619701.03
2017-07-02 08-AM,BTCUSD,2418.1,2435,2406.72,2432,178.82,433515.96,264.4,272.4,260.49,270,6569.41,1756756.81,2431.95,2461.99,2428.98,2461.99,307.95,754201.39
2017-07-02 08-PM,BTCUSD,2482.94,2498,2480,2488.59,184.97,459993.53,279.59,283,278.62,280,3470.43,976587.22,2492.61,2504.41,2488.01,2504.09,297.05,741224.65
2017-07-02 09-AM,BTCUSD,2432,2440,2418.75,2422,189.24,460272.83,270,271.99,263,263.15,5093.8,1364942.65,2461.99,2461.99,2450,2457.54,214.1,526054.35
2017-07-02 09-PM,BTCUSD,2488.59,2521.89,2488.59,2519.44,381.93,957918.83,280,294.52,280,293.75,12770.79,3704452.74,2504.09,2525,2495.56,2525,604.59,1517763.57
2017-07-02 10-AM,BTCUSD,2422,2426,2404.11,2404.11,113.93,275510.91,263.15,266.47,260,260.77,2030.5,532648.93,2457.54,2457.54,2427.87,2436.07,98.17,239436.21
2017-07-02 10-PM,BTCUSD,2519.44,2525,2496.02,2506.32,416.46,1046347.11,293.75,294.75,284.18,286,6617.95,1917847.96,2525,2525,2506,2517.01,454.22,1142345.43
2017-07-02 11-AM,BTCUSD,2404.11,2422.37,2396.71,2411.7,198.3,476688.9,260.77,264.57,257.1,263.25,1943.68,507633.93,2436.07,2450,2427.76,2449.6,112.67,274674.35
2017-07-02 11-PM,BTCUSD,2506.32,2525,2499.52,2505.57,322.96,811862.82,286,290.44,283.4,284,2410.89,689098.15,2517.01,2545,2507.57,2516.66,463.27,1171405.78
2017-07-02 12-AM,BTCUSD,2392.95,2400.27,2344,2358,298.91,710482.47,256,259.77,254.12,256.1,1418.48,363156.89,2423.63,2426,2389.99,2391.87,565.71,1362475.58
2017-07-02 12-PM,BTCUSD,2411.7,2423.55,2396.71,2409.9,161.48,389472.59,263.25,266.34,259.17,260.35,2849.32,748736.12,2449.6,2450.03,2431.65,2440.87,101,246605.42
2017-07-03 01-AM,BTCUSD,2494.03,2503.96,2480.14,2499.1,338.46,843942.83,283.4,283.4,273.62,278.1,4128.46,1144713.48,2500.97,2501,2495.36,2500,448.9,1121514.73
2017-07-03 01-PM,BTCUSD,2515.1,2588,2513.65,2574,576.62,1474443.7,276,285,274.03,283.32,5043.21,1413359.95,2519.38,2570,2518.46,2560,754.54,1920307.83
2017-07-03 02-AM,BTCUSD,2499.1,2503.82,2480.56,2488.95,246.04,613620.16,278.1,279.9,275.68,279.9,1838.75,509778.39,2500,2501,2490.32,2491.4,371.84,927458.54
2017-07-03 02-PM,BTCUSD,2574,2587.98,2548.6,2551.2,550.61,1414858.67,283.32,286.51,277.5,280.1,2554.24,718693.95,2560,2584.78,2539.37,2550,811.11,2079482.25
2017-07-03 03-AM,BTCUSD,2488.95,2497.28,2472.44,2474.69,242.59,602168.08,279.9,281.35,277.2,277.4,2124.46,593343.83,2491.4,2497.67,2487.04,2490.83,330.36,822813.2
2017-07-03 03-PM,BTCUSD,2551.2,2568.51,2545.03,2567.97,218.12,558219.27,280.1,281.91,276.26,281,1314.35,367372.4,2550,2576.45,2543.83,2569.98,543.07,1388071.82
2017-07-03 04-AM,BTCUSD,2474.69,2504.17,2474.69,2492.62,305.82,762511.96,277.4,284,277.1,280.66,3054.09,856993.2,2490.83,2499.92,2487.04,2498.92,484.4,1207907.74
2017-07-03 04-PM,BTCUSD,2567.97,2569.98,2549.25,2549.25,148.5,379669.59,281,282.99,279.31,281.45,1221.54,343044.52,2569.98,2573.97,2555,2563,447.44,1146695.19
2017-07-03 05-AM,BTCUSD,2492.62,2500,2479.93,2498.81,264.45,659227.98,280.66,284.38,277,280.78,3182.72,893358.96,2498.92,2499.99,2481.72,2497.61,660.14,1645439.59
2017-07-03 05-PM,BTCUSD,2549.25,2558.67,2540.01,2545.28,158.25,403217.69,281.45,283,279.7,280.5,1356.7,381256.69,2563,2564.92,2550,2552.37,372.57,951763.23
2017-07-03 06-AM,BTCUSD,2498.81,2500,2490.54,2497.77,193.54,482647.58,280.78,281.83,275.68,277.4,2058.18,572302.79,2497.61,2499.99,2490.56,2499.98,185.14,461998.47
2017-07-03 06-PM,BTCUSD,2545.28,2550.4,2522.57,2531,238.94,605994.71,280.5,281,276.66,277.51,2051.74,572936.51,2552.37,2553.62,2526.83,2528.8,617.11,1565459.14
2017-07-03 07-AM,BTCUSD,2497.77,2500,2477.99,2480.99,349.01,869326.01,277.4,278.87,273.74,275,2947.77,816290.97,2499.98,2502,2481.72,2481.72,297.38,742173.24
2017-07-03 07-PM,BTCUSD,2531,2550,2520.01,2543.94,177.24,448773.79,277.51,280.32,276,279.87,1317.23,365873.22,2528.8,2548.02,2528.1,2547.43,332.44,843361.36
2017-07-03 08-AM,BTCUSD,2480.99,2483.76,2469.31,2471,174.08,430977.43,275,275,271,274.51,4246.32,1161450.96,2481.72,2492.19,2481.72,2483.72,166.93,415151.65
2017-07-03 08-PM,BTCUSD,2543.94,2564.18,2541.68,2558,239.67,612599.68,279.87,280.79,277.71,279.09,991.97,277097.59,2547.43,2559.12,2547.16,2556.02,416.77,1063723.97
2017-07-03 09-AM,BTCUSD,2471,2481.93,2469.33,2474.58,158.16,391589.62,274.51,276.9,271.51,274.18,3246.16,890379.44,2483.72,2493.77,2479.75,2489.09,181.49,450826.47
2017-07-03 09-PM,BTCUSD,2558,2573,2550.01,2572.92,235.98,604140.4,279.09,280.79,278.03,280.01,699.39,195388.41,2556.02,2559.99,2550,2559.98,386,986807.45
2017-07-03 10-AM,BTCUSD,2474.58,2482.91,2469.21,2482.88,254.62,630437.56,274.18,277.41,272.34,277,1407.72,387836.14,2489.09,2496.13,2480.11,2482.09,186.78,464571.99
2017-07-03 10-PM,BTCUSD,2572.92,2585.44,2563,2565.9,416.57,1072302.29,280.01,281,278.03,278.39,1129.98,316230.96,2559.98,2573.84,2552.01,2554.4,387.05,992687.47
2017-07-03 11-AM,BTCUSD,2482.88,2499.99,2477,2499.99,151.71,377136.53,277,278.15,272,276.89,1477.84,407119.04,2482.09,2502.3,2479.75,2502.3,375.44,935469.25
2017-07-03 11-PM,BTCUSD,2565.9,2574.93,2546.73,2546.73,251.34,643399.89,278.39,278.66,275.62,276.1,1281.26,354611.91,2554.4,2557.15,2541.9,2542.41,262.95,670974.2
2017-07-03 12-AM,BTCUSD,2505.57,2518.21,2480.2,2494.03,223.22,556397.61,284,285,276.8,283.4,3836.67,1075638.96,2516.66,2519.9,2499.2,2500.97,536.4,1343065.07
2017-07-03 12-PM,BTCUSD,2499.99,2524.08,2494.77,2515.1,301.57,756436.33,276.89,277.1,273,276,2948.46,814386.1,2502.3,2524,2502.05,2519.38,488,1226509.51
2017-07-04 01-AM,BTCUSD,2571.15,2581.43,2570.03,2580,129.03,332463.24,278.59,280.4,276.35,279.14,991.58,276724.44,2560.93,2570,2560.92,2566.27,276.22,708317.11
2017-07-04 01-PM,BTCUSD,2616.91,2627.83,2613,2619,112.22,293883.57,282,282,278.2,278.2,968.91,271272.89,2616.22,2626,2610.07,2617.88,449.95,1178798.95
2017-07-04 02-AM,BTCUSD,2580,2615,2575.89,2608.38,519.07,1345189.38,279.14,281.65,277.73,281.65,1821.84,509105.76,2566.27,2610.77,2566,2607.1,830.62,2147769.04
2017-07-04 02-PM,BTCUSD,2619,2624,2601,2612.33,316.88,827459.98,278.2,279.28,276.14,276.15,2715.33,753616.26,2617.88,2621.01,2610,2612.72,495.7,1296656.48
2017-07-04 03-AM,BTCUSD,2608.38,2629.54,2599.67,2611.96,447.68,1172036.05,281.65,282.4,277,278.11,1486.87,416058.25,2607.1,2625,2601,2616.28,1266.24,3311151.43
2017-07-04 03-PM,BTCUSD,2612.33,2616,2575.89,2584.56,265.36,686699.29,276.15,277.65,271,272.1,5019.58,1373257.2,2612.72,2616.13,2577.88,2587,547.14,1418149.21
2017-07-04 04-AM,BTCUSD,2611.96,2628.21,2609.71,2620.16,272.78,714390.79,278.11,281,278.11,280.01,1597.14,447240.43,2616.28,2625.47,2605.17,2620,467.02,1221167.35
2017-07-04 04-PM,BTCUSD,2584.56,2588.27,2550,2563.57,281.7,724183.32,272.1,272.1,262.12,269.27,7053.99,1889537.33,2587,2587.06,2560,2570.25,1010.42,2599222.37
2017-07-04 05-AM,BTCUSD,2620.16,2647.65,2620.13,2629.75,317.26,834782.73,280.01,283,279.5,282.98,1302.12,366837.75,2620,2636.04,2611.3,2621,644.18,1691520.85
2017-07-04 05-PM,BTCUSD,2563.57,2581.25,2553.26,2575.27,226.15,579717.06,269.27,272,265.77,270,5067.79,1365494.33,2570.25,2595.89,2567.37,2594,489.14,1263709.31
2017-07-04 06-AM,BTCUSD,2629.75,2636.07,2621.25,2627.26,395.45,1038078.22,282.98,283,280.7,282.32,1522.91,430479.49,2621,2628.15,2615,2625.9,329.38,862506.02
2017-07-04 06-PM,BTCUSD,2575.27,2581.25,2554.19,2574.2,181.69,467179.17,270,273,269.1,272,2710.77,736705.8,2594,2595.72,2579.56,2586.71,305.56,791433.41
2017-07-04 07-AM,BTCUSD,2627.26,2641.36,2627.26,2633.29,238.65,628770.14,282.32,284.1,281.78,282.01,1507.3,426349.75,2625.9,2636.1,2621.02,2630.93,202.35,531708.39
2017-07-04 07-PM,BTCUSD,2574.2,2579.15,2553.26,2554,162.55,416653.88,272,272.4,267,268,1973.99,532712.03,2586.71,2588.24,2566.51,2566.51,318.24,820505.19
2017-07-04 08-AM,BTCUSD,2633.29,2634.99,2610.6,2610.6,299.38,785020.79,282.01,284.43,282,284.3,1231.52,348845.62,2630.93,2630.93,2594.49,2594.49,345.53,902229.12
2017-07-04 08-PM,BTCUSD,2554,2570,2550,2566.95,113.49,290231.33,268,270,266.25,268.02,1438.83,385515.59,2566.51,2586.99,2563.02,2579.09,216.02,556118.78
2017-07-04 09-AM,BTCUSD,2610.6,2619.18,2606.33,2617.11,405.72,1058985.57,284.3,284.43,282,283.7,1584.9,448596.19,2594.49,2609.99,2593.86,2605.1,112.84,293760.31
2017-07-04 09-PM,BTCUSD,2566.95,2579.15,2558.28,2570,134.34,345753.89,268.02,270,266.5,269.8,1771.18,476877.07,2579.09,2590.05,2574.71,2582.36,442.23,1143030.49
2017-07-04 10-AM,BTCUSD,2617.11,2617.12,2592.3,2610.03,165.23,430622.77,283.7,283.8,283.19,283.29,860.56,243850.13,2605.1,2605.12,2581.12,2594.83,143.89,373323.76
2017-07-04 10-PM,BTCUSD,2570,2588.88,2565,2582,194.6,502006.57,269.8,271.65,267,267.67,945.97,254796.93,2582.36,2596,2579.41,2595.98,328.94,852406.83
2017-07-04 11-AM,BTCUSD,2610.03,2616.45,2602.41,2611.79,178.93,466949.81,283.29,283.5,281.15,282.07,1181.8,333835.85,2594.83,2614.94,2594.83,2614.93,369.14,961681.31
2017-07-04 11-PM,BTCUSD,2582,2599.99,2578.07,2599.07,132.4,342910.84,267.67,269.83,267.1,268.4,463.51,124459,2595.98,2611.45,2591.32,2602,580.95,1511685.24
2017-07-04 12-AM,BTCUSD,2546.73,2577.42,2546.73,2571.15,262.72,672964.77,276.1,278.62,275.13,278.59,1162.65,321457.43,2542.41,2564,2542.18,2560.93,247.03,631450.23
2017-07-04 12-PM,BTCUSD,2611.79,2626.15,2608.11,2616.91,157.07,411124.82,282.07,283.3,281.02,282,897.53,253068.7,2614.93,2621.57,2609.03,2616.22,256.14,670328.03
2017-07-05 01-AM,BTCUSD,2566.81,2581.47,2560.92,2566.92,222.44,571782.46,265.34,267.25,264.2,266.75,822.87,218703.45,2578.97,2593.51,2576.25,2584.27,394.05,1018832.91
2017-07-05 01-PM,BTCUSD,2553.93,2579.17,2544.43,2574.23,363.69,934477.01,261.6,262,257.11,258.53,2750.45,711342.19,2555.72,2575.72,2551.06,2575.72,873.67,2241247.63
2017-07-05 02-AM,BTCUSD,2566.92,2576.1,2555.44,2568.35,276.47,708843.82,266.75,269.5,266.3,267,1243.44,334000.09,2584.27,2584.32,2571.36,2580.85,397.47,1025046.26
2017-07-05 02-PM,BTCUSD,2574.23,2578.44,2562.67,2576.96,210.71,541947.89,258.53,258.68,253.81,255.64,6558.93,1675099.22,2575.72,2576.99,2556.68,2567.01,638.39,1639218
2017-07-05 03-AM,BTCUSD,2568.35,2573.27,2555.76,2557.36,64.49,165529.37,267,269.35,267,269.35,497.88,133599.52,2580.85,2587.64,2572.89,2576.12,301.5,778614.64
2017-07-05 03-PM,BTCUSD,2576.96,2578.59,2560,2576.71,332.7,855219.3,255.64,258,254.1,258,3381.25,864785.19,2567.01,2575.75,2556.38,2573.91,416.4,1068075.44
2017-07-05 04-AM,BTCUSD,2557.36,2564.54,2538.84,2552,229.19,584062.6,269.35,270.5,267.1,268.74,1304.07,350587.43,2576.12,2579,2559.01,2572.85,282.93,727147.95
2017-07-05 04-PM,BTCUSD,2576.71,2589,2575.08,2578.89,282.37,729414,258,259,256.02,256.8,3034.23,781502.24,2573.91,2585.47,2570.71,2578.96,484.24,1249833.7
2017-07-05 05-AM,BTCUSD,2552,2560.37,2544.91,2556.8,84.7,216343.2,268.74,268.75,267.01,268.75,412.34,110457.51,2572.85,2572.85,2561.49,2571.76,260.02,667664.56
2017-07-05 05-PM,BTCUSD,2578.89,2595.69,2575.69,2595,121.74,314816.93,256.8,263.77,256.75,262,3931.7,1022244.26,2578.96,2598,2573.02,2598,443.96,1147597.69
2017-07-05 06-AM,BTCUSD,2556.8,2560.38,2546.31,2552.98,112.95,288583.58,268.75,268.75,267.01,267.01,1225.12,327872.66,2571.76,2576.77,2555.34,2563.24,285.46,732525.02
2017-07-05 06-PM,BTCUSD,2595,2618.65,2590.89,2609.51,403.5,1051501.76,262,277.45,260.46,273.87,10388.47,2803878.94,2598,2612,2593.24,2603.45,827.54,2153891.19
2017-07-05 07-AM,BTCUSD,2552.98,2553.06,2536.01,2539.29,203.3,517083.86,267.01,267.1,260.11,262.9,3832.32,1006774.25,2563.24,2567.07,2553.04,2558.37,304.65,779991.02
2017-07-05 07-PM,BTCUSD,2609.51,2627.75,2597.69,2620.33,327.48,854654.18,273.87,274.3,267.5,269.92,4995.88,1350307.31,2603.45,2624,2594.39,2623.79,458.48,1197098.49
2017-07-05 08-AM,BTCUSD,2539.29,2559,2539.16,2558.25,163.24,415472.65,262.9,265.22,260.11,264,1960.11,515615.85,2558.37,2571.65,2552.37,2570.7,283,724812.65
2017-07-05 08-PM,BTCUSD,2620.33,2625.16,2610.44,2614.97,155.67,407216.12,269.92,272.8,264,265,3954.43,1053428.77,2623.79,2623.99,2604.1,2608.6,456.35,1193438.38
2017-07-05 09-AM,BTCUSD,2558.25,2559,2544.43,2550.19,88.78,226596.32,264,264.49,260.75,261.5,1142.85,300645.15,2570.7,2574.57,2560.8,2568.4,192.25,493826.64
2017-07-05 09-PM,BTCUSD,2614.97,2616.97,2593.83,2609.29,196.06,510689.49,265,267.65,264,267.09,1391.72,370233.9,2608.6,2615.15,2597.92,2615.15,430.78,1122062.06
2017-07-05 10-AM,BTCUSD,2550.19,2558.99,2549.92,2552,114.51,292398.94,261.5,264.88,258.32,259,6900.28,1804934.12,2568.4,2575.03,2567.34,2570.01,155.21,399202.88
2017-07-05 10-PM,BTCUSD,2609.29,2628.39,2609.29,2612.71,169.07,442434.68,267.09,271.23,265.98,265.98,1683.37,451102.64,2615.15,2630.24,2611.64,2611.64,392.55,1028815.61
2017-07-05 11-AM,BTCUSD,2552,2560.38,2544.86,2555.9,206.09,526529.56,259,263.22,255.55,263,3376.71,869700.98,2570.01,2578.93,2569.43,2572.06,214.09,551120.93
2017-07-05 11-PM,BTCUSD,2612.71,2617.3,2601.66,2611.39,150.46,392781.49,265.98,269.8,264.34,266.3,2195.16,585619.35,2611.64,2620,2602.11,2616.96,378.66,988621.57
2017-07-05 12-AM,BTCUSD,2599.07,2599.07,2563.18,2566.81,325.06,840504.86,268.4,269.21,264.5,265.34,3288.18,875659.84,2602,2602.82,2577.51,2578.97,833.53,2162494.38
2017-07-05 12-PM,BTCUSD,2555.9,2565.77,2550.2,2553.93,308.23,789222.39,263,264,259.69,261.6,1850.02,485234.79,2572.06,2573,2555.72,2555.72,475.8,1220262.71
2017-07-06 01-AM,BTCUSD,2605,2605,2584,2595,204.67,531266.87,262.58,263.75,261,262,1389.39,364259.7,2615.85,2615.85,2600.14,2603.01,393.2,1025148.32
2017-07-06 01-PM,BTCUSD,2597.54,2597.57,2580.2,2594.89,183.17,474034.17,266.92,268.9,266,266,796.37,212729,2598.54,2600,2585,2591.6,380.24,985283.39
2017-07-06 02-AM,BTCUSD,2595,2615.12,2595,2610.03,123.05,320871.4,262,264.25,262,263.7,1434.95,377804.39,2603.01,2610,2603,2610,234.42,610972.83
2017-07-06 02-PM,BTCUSD,2594.89,2600,2583.56,2591.22,280.05,725958.08,266,267.77,265,266.3,1280.8,340339.03,2591.6,2597.93,2585.23,2585.23,445.58,1154249.77
2017-07-06 03-AM,BTCUSD,2610.03,2620,2600.18,2613.4,152.36,397503.6,263.7,266.77,263.01,266,1323.03,350449.92,2610,2617,2606.86,2616.99,245.43,641468.26
2017-07-06 03-PM,BTCUSD,2591.22,2600,2584.28,2590.7,98.21,254813.75,266.3,266.87,265.16,266.87,1360.75,361620.31,2585.23,2590,2580.77,2583.95,518.32,1340411.97
2017-07-06 04-AM,BTCUSD,2613.4,2613.59,2595.56,2598.88,77.8,202676.77,266,266.79,264.5,264.8,673.69,178792.24,2616.99,2617,2606.22,2607.97,224.32,585633.31
2017-07-06 04-PM,BTCUSD,2590.7,2598,2587.1,2597.99,153.39,397677.01,266.87,267.39,263.74,265,1254.23,332911.62,2583.95,2594.99,2580.69,2594.47,420.84,1088632.46
2017-07-06 05-AM,BTCUSD,2598.88,2604.98,2592.32,2595.01,253.41,658325.51,264.8,266.17,263.5,263.73,668.41,176633.34,2607.97,2609.93,2596.57,2600,217.51,566338.79
2017-07-06 05-PM,BTCUSD,2597.99,2600.36,2592.59,2600.34,116.94,303680.52,265,266.53,263,265.1,2767.88,731820.23,2594.47,2598.96,2590,2594.05,413.3,1071798.51
2017-07-06 06-AM,BTCUSD,2595.01,2606.73,2592,2603.81,169.91,441387.24,263.73,268.4,263.5,268.13,1698.55,451887.81,2600,2607,2597.23,2605.8,148.25,385699.79
2017-07-06 06-PM,BTCUSD,2600.34,2601.93,2590,2595.5,86.23,223840.99,265.1,265.87,262.97,262.97,1343.36,354363.59,2594.05,2596.28,2590.95,2590.96,353.85,917506.29
2017-07-06 07-AM,BTCUSD,2603.81,2609.23,2595.72,2608.3,124.17,322876.07,268.13,274.8,266.14,271.93,3636.64,985150.64,2605.8,2609.1,2593.82,2608.09,355.16,923810.79
2017-07-06 07-PM,BTCUSD,2595.5,2599.99,2580.16,2599.99,304.72,788012.24,262.97,263.95,262,263.1,1129.15,296562.37,2590.96,2600,2590.91,2600,358.6,929897.39
2017-07-06 08-AM,BTCUSD,2608.3,2614.96,2601.7,2614.96,105.87,276089.72,271.93,276,269.17,275.01,1554.02,423307.72,2608.09,2613,2601.22,2612.34,228.13,595511.75
2017-07-06 08-PM,BTCUSD,2599.99,2605,2595.5,2601.24,75.73,197058.89,263.1,265.5,262.2,264.3,1409.86,372573.44,2600,2608.98,2593.2,2597.51,311.26,809507.44
2017-07-06 09-AM,BTCUSD,2614.96,2614.99,2575.34,2586.46,247.54,641065.75,275.01,276,267.5,269.49,3100.9,839103.25,2612.34,2614.93,2580.73,2585.05,484.7,1257309.41
2017-07-06 09-PM,BTCUSD,2601.24,2609.53,2592.63,2600,94.05,244720.94,264.3,265.13,262,262,838.95,221396.56,2597.51,2599,2594.04,2598.44,427.5,1110287.01
2017-07-06 10-AM,BTCUSD,2586.46,2603,2581.13,2593.2,129.62,336215.26,269.49,272.43,269.49,272.43,633.69,171565.24,2585.05,2604.09,2582.96,2598.16,199.04,516830.69
2017-07-06 10-PM,BTCUSD,2600,2615,2600,2611.75,94.2,245717.45,262,267.61,262,266.44,1732.71,460910.85,2598.44,2605.1,2590.76,2604.46,503.14,1308086.28
2017-07-06 11-AM,BTCUSD,2593.2,2598.07,2581.8,2596,135.21,350674.83,272.43,274,269.54,271.9,1650.25,448804.06,2598.16,2603,2590.36,2602.98,297.3,772903.29
2017-07-06 11-PM,BTCUSD,2611.75,2614,2605,2605.64,73.22,191072.51,266.44,267.45,265.79,266.49,470.25,125537.09,2604.46,2605.5,2600,2604.84,304.52,792935.83
2017-07-06 12-AM,BTCUSD,2611.39,2620,2601.73,2605,122.3,319161.4,266.3,266.53,261.4,262.58,2119.05,558709.36,2616.96,2623.54,2608.93,2615.85,348.66,912701.2
2017-07-06 12-PM,BTCUSD,2596,2599.96,2592.92,2597.54,121.08,314400.82,271.9,271.9,266.78,266.92,2680.36,721127.21,2602.98,2607,2597.44,2598.54,382.97,996459.01
2017-07-07 01-AM,BTCUSD,2608.55,2611.52,2594.54,2598.97,140.5,365783.33,265.44,266.6,265,266.6,605.35,161019.66,2606,2606.52,2591.63,2602.6,407.39,1059781.27
2017-07-07 01-PM,BTCUSD,2529.63,2538.55,2500,2505.21,374.15,942271.89,250.3,253.58,242.37,243,10229.79,2540175.34,2535.12,2539,2510,2517.1,378.18,957431.16
2017-07-07 02-AM,BTCUSD,2598.97,2600,2586,2587.36,183.17,475470.76,266.6,266.6,262.5,263.71,1072.34,283414.84,2602.6,2607.61,2590.02,2591.1,674.44,1751529.28
2017-07-07 02-PM,BTCUSD,2505.21,2516,2500,2501.98,401.82,1009177.82,243,249.32,242.37,246.66,12322.17,3013956.47,2517.1,2531,2505.26,2514.79,625.09,1575547.79
2017-07-07 03-AM,BTCUSD,2587.36,2600.76,2583,2595.17,85.37,221078.92,263.71,266.6,262.5,265.85,913.1,241613.49,2591.1,2597.75,2589,2597.31,348.81,904396.4
2017-07-07 03-PM,BTCUSD,2501.98,2520,2490,2520,322.58,808312.16,246.66,247,242.1,244,7166.14,1748674.75,2514.79,2526,2490.91,2525.33,633.42,1591188.72
